Rank,Median Household Income ▼,Zip / Population
1557,"$30,214","90002 / 50,098"
1558,"$30,016","90003 / 66,913"
1559,"$29,952",96046 / 255
1560,"$29,913","95560 / 1,374"
1561,"$29,889","90011 / 102,926"
1562,"$29,848","93283 / 2,313"
1563,"$29,812","93305 / 37,871"
1564,"$29,721","95815 / 25,772"
1565,"$29,708","95485 / 2,508"
1566,"$29,659",96109 / 731
1567,"$29,511","92283 / 2,334"
1568,"$29,492","90012 / 30,029"
1569,"$29,362","92285 / 2,731"
1570,"$29,306",96033 / 526
1571,"$29,304","93234 / 6,896"
1572,"$29,302","93204 / 14,553"
1573,"$29,250",95960 / 974
1574,"$29,197","93706 / 39,794"
1575,"$29,063",95939 / 512
1576,"$29,048",96104 / 548
1577,"$29,030",93255 / 598
1578,"$29,005","93261 / 3,248"
1579,"$28,958",94940 / 194
1580,"$28,953","90015 / 18,226"
1580,"$28,953","96097 / 9,790"
1582,"$28,897",95486 / 54
1583,"$28,750","96039 / 1,206"
1584,"$28,556",94922 / 492
1585,"$28,472",95387 / 768
1586,"$28,447","95824 / 29,781"
1587,"$28,406","93703 / 34,122"
1588,"$28,344","90044 / 88,412"
1589,"$28,285",93519 / 97
1590,"$28,261",96133 / 160
1591,"$28,185","92113 / 57,580"
1592,"$28,005",93518 / 986
1593,"$27,938","93201 / 1,173"
1594,"$27,914","93646 / 10,716"
1595,"$27,890","92274 / 18,937"
1596,"$27,807","93270 / 5,519"
1597,"$27,727",96087 / 525
1598,"$27,379","95423 / 3,040"
1599,"$27,361","93256 / 6,035"
1600,"$27,190","90033 / 48,567"
1601,"$27,163","92543 / 34,680"
1602,"$27,120","92410 / 47,510"
1603,"$26,958",93626 / 813
1604,"$26,940","90057 / 45,747"
1605,"$26,852","92273 / 1,228"
1606,"$26,827","96041 / 2,795"
1607,"$26,813",93554 / 128
1608,"$26,771",96110 / 129
1609,"$26,667","92242 / 1,235"
1609,"$26,667","95464 / 2,208"
1611,"$26,638","90037 / 61,536"
1612,"$26,518",95585 / 454
1613,"$26,491","92254 / 12,300"
1614,"$26,281","95546 / 3,434"
1615,"$26,250",95983 / 440
1615,"$26,250",96112 / 230
1617,"$26,223","93660 / 4,621"
1618,"$26,058","95548 / 1,459"
1619,"$26,054","93240 / 5,667"
1620,"$26,031","93702 / 47,850"
1621,"$26,000",93512 / 178
1622,"$25,934","95422 / 15,453"
1623,"$25,741","93640 / 12,140"
1624,"$25,707",92258 / 520
1625,"$25,662",96047 / 775
1626,"$25,486",93558 / 267
1627,"$25,327","93615 / 5,923"
1628,"$25,200",95914 / 555
1629,"$24,814","95319 / 1,581"
1630,"$24,722",95922 / 595
1631,"$24,625",96116 / 162
1632,"$24,375",93260 / 175
1633,"$24,276",93666 / 683
1634,"$24,205",96015 / 814
1635,"$24,127","94102 / 28,013"
1636,"$24,122","93266 / 1,465"
1637,"$24,118","93218 / 1,009"
1638,"$24,032",91931 / 331
1639,"$24,009",93623 / 58
1640,"$23,750",95554 / 325
1641,"$23,542",96031 / 165
1642,"$23,458","93219 / 10,378"
1643,"$22,917",93652 / 288
1644,"$22,904",95559 / 103
1645,"$22,893",95514 / 170
1646,"$22,646","90007 / 43,779"
1647,"$21,979",95526 / 237
1648,"$21,912",92259 / 269
1649,"$21,875",96054 / 294
1650,"$21,838",96086 / 379
1651,"$21,429",95248 / 178
1652,"$21,410",95427 / 227
1653,"$21,333",94950 / 74
1654,"$21,120","90013 / 10,575"
1655,"$21,009","90017 / 23,719"
1656,"$20,980","95458 / 3,334"
1657,"$20,972",96075 / 308
1658,"$20,896","93258 / 2,292"
1659,"$20,349","93205 / 2,065"
1660,"$20,179",95224 / 266
1661,"$19,922",95225 / 570
1662,"$19,375","92275 / 1,413"
1663,"$18,750",96011 / 155
1664,"$18,553","93701 / 10,788"
1665,"$18,220","92257 / 1,757"
1666,"$17,981",91046 / 168
1667,"$17,134","90014 / 6,659"
1668,"$16,649","92401 / 2,104"
1669,"$16,537",95537 / 130
1670,"$16,154",93606 / 604
1671,"$15,988","90058 / 2,748"
1672,"$15,529",95443 / 268
1673,"$15,023","95202 / 5,409"
1674,"$14,848",92341 / 294
1675,"$14,688",96037 / 220
1676,"$14,073",95679 / 48
1677,"$13,906",93528 / 79
1678,"$13,750",95511 / 452
1679,"$12,748","90021 / 2,913"
1680,"$12,404",96049 / 90
1681,"$12,000",92389 / 115
1682,"$11,922","93721 / 6,308"
1683,"$11,250",93530 / 28
1684,"$10,625","90089 / 3,326"
1685,"$10,481",95915 / 58
1686,"$6,827",93669 / 284
