Rank,Median Household Income ▼,Zip / Population
279,"$88,797","94089 / 20,476"
280,"$88,750",93208 / 125
280,"$88,750","94973 / 1,831"
282,"$88,693","94531 / 42,587"
283,"$88,384","92629 / 26,955"
284,"$88,333",95493 / 187
285,"$88,160","92869 / 37,390"
286,"$88,012","94597 / 20,645"
287,"$87,782","95757 / 44,638"
288,"$87,738","95655 / 4,592"
289,"$87,720","93311 / 44,358"
290,"$87,652","94538 / 63,850"
291,"$87,598","94530 / 24,301"
292,"$87,596",96121 / 249
293,"$87,500","95136 / 41,852"
294,"$87,425","92336 / 91,510"
295,"$87,361","92532 / 21,260"
296,"$87,251","90603 / 20,475"
297,"$87,156","95819 / 18,374"
298,"$87,110","92646 / 55,505"
299,"$87,100","95765 / 36,391"
300,"$87,095","90713 / 28,411"
301,"$86,967","92663 / 22,772"
302,"$86,573","90064 / 25,788"
303,"$86,521","94560 / 43,635"
304,"$86,505","93010 / 43,234"
305,"$86,469","92649 / 32,976"
306,"$86,196","94903 / 30,110"
307,"$86,070","94122 / 58,547"
308,"$86,031","95065 / 8,331"
309,"$85,914","92596 / 26,044"
310,"$85,857","92648 / 46,623"
311,"$85,707","92126 / 78,201"
312,"$85,655","91001 / 37,481"
313,"$85,514","95121 / 38,603"
314,"$85,361","92860 / 27,304"
315,"$85,330","94115 / 34,556"
316,"$85,251","92865 / 19,715"
317,"$85,200","93551 / 50,572"
318,"$85,000",94548 / 400
318,"$85,000",94586 / 984
320,"$84,828","94116 / 45,552"
321,"$84,819","94521 / 41,138"
322,"$84,785","92630 / 59,657"
323,"$84,761","91107 / 31,828"
324,"$84,750","92676 / 2,033"
325,"$84,741","91913 / 43,655"
326,"$84,620","91775 / 25,395"
327,"$84,588","90293 / 11,997"
328,"$84,537","90732 / 19,810"
329,"$84,516","90212 / 12,415"
330,"$84,488","94110 / 71,422"
331,"$84,250",92678 / 427
332,"$84,133","95650 / 12,255"
333,"$84,051","90630 / 48,844"
334,"$84,021","91006 / 32,392"
335,"$84,004","90245 / 16,839"
336,"$83,974","93063 / 56,687"
337,"$83,902","95003 / 24,383"
338,"$83,767","90623 / 15,767"
339,"$83,638","94945 / 17,973"
340,"$83,542","94158 / 5,530"
341,"$83,467","95864 / 22,698"
342,"$83,269","92210 / 4,839"
343,"$83,194","93465 / 9,652"
344,"$83,038","93035 / 26,966"
345,"$82,993","94118 / 40,102"
346,"$82,917",93605 / 201
347,"$82,857","92662 / 3,018"
348,"$82,748","95020 / 59,666"
349,"$82,675","92705 / 46,163"
350,"$82,564","94587 / 71,675"
351,"$82,313","90505 / 37,381"
352,"$82,076","91387 / 42,518"
